No,Username,Komentar,Sentimen
15,@fauziaaajaloh,"ANJIR, BEDA AMAT MENU MBG GUA, diki bet jir mbg gua mah,",😡 Negatif
8,@kz_yayaww,sekolah lain : 😋🦞🍣🍤🍓🍐🍊🥦🍔 sekolah ku :belum dapett😭,😡 Negatif
103,@khadijah114,durung adil merata..💪,😡 Negatif
229,@rotioverthink28,request an kuðŸ«°ðŸ»ðŸ˜­ðŸ™ðŸ»,😐 Netral
192,@shakilaalmahyra203,wow... sejauh ini ini menu MBG paling 👍👍👍 mantab,😊 Positif
89,@duri123469,boleh tau g itu nama kacang nya,😐 Netral
293,@glancy.gwen,Biasanya anggur 3 biji ini kok 5ðŸ˜‚ kelebihan 2 itu,😡 Negatif
462,@leviaaliaa,meanwhile jasuke di skola ku,😐 Netral
346,@dcicy0,SIAPA SEKOLAH BERUNTUNG   ITUUU,😊 Positif
251,@chelsichi.*,tag sppg klen we,😐 Netral
365,@apinnn1459,tag sppg   kalian,😐 Netral
320,@naura.hasna.annid225,hati hati ya bawa mobil nyaaðŸ˜­,😐 Netral
40,@tratau_000,"enak mbg ny tdi e, semangat trus kk mbg💪🏻💪🏻",😊 Positif
478,@dcicy0,SIAPA SEKOLAH BERUNTUNG ITUUU,😊 Positif
581,@ar_zulio,"aku habis,dari SDN karya Bhakti",😐 Netral
370,@qo_sweptyy,"bangg kalo libur   sekolah akhir tahun, mbg tetep dapet apa gak bang??",😐 Netral
94,@arjuna449,sppg biasanya ada mess tempat tidur ga?,😐 Netral
156,@ndaapthrii,kalau tiba di sekolah beda lagi menunyadan tdk sesuai,😡 Negatif
552,@g_stc1,sama,😐 Netral
196,@tyzz231,Wow istimewaah 👏👏,😊 Positif
56,@tukang_cuci.laundry,yg divideoin yg bagus2. yg asliny kyk gini. MBG sekolah anak sya hr inj,😊 Positif
543,@gpskyb_lovvers01,Di sekol ku sekarang kalo dpt mbg ga blh keringan,😡 Negatif
542,@partikelkecik,Fruit sando tahan berapa lama ya,😐 Netral
265,@surazuli24,yg di pamerin pasti yg bagus nya aj ðŸ˜‚,😡 Negatif
420,@ayusetia393,tadi anakqu dapet e godokan kak.. kacang.telo.tahu .telur. jeruk,😐 Netral
138,@luvioziel,"itu sample doang yaa, yg buat dikasih muridmah dikurangin + gak dihiaskan ?? bertanya dengan nada lembut",😡 Negatif
17,@author_au.2,udah yapping nya??,😐 Netral
430,@keysa6381,giliran mau di tutup dibikin enak2 menunya,😡 Negatif
144,@adyassiddiqheryadin24_,beda saama buat nganterin mah itu mah cuma sample🤣,😡 Negatif
264,@zahrahtmasarii,disisi lain..,😐 Netral
584,@kgmisbah,mantap menu nya min,😊 Positif
389,@ahzadanish172,MBG gw:ðŸ—ðŸ¥šðŸšðŸ¥—ðŸŒðŸ‰,😊 Positif
281,@fanluxyken_r_v,"ini serius isiny begini?, kek kumplit",😊 Positif
422,@senfaiy23hsu,telur 2000 telo 1000 kripik 1000 total 4000 sisanya pada kemana,😡 Negatif
569,@gabuttbrow,dpt dri mbg,😐 Netral
393,@zriell722,Seminggu sekali Mending di jadiin bansos beras 5karung minyak 10 liter,😡 Negatif
204,@emaknyarj3,"Look nya menggugah selera. padahal kalau dihitung itu gak nyampe 15k, apalagi dengan belanjaan yang langsung banyak. Anehnya, MBG lain kenapa gak bisa?😭😭😭",😡 Negatif
157,@pecintalagumakassar,tdk sesuai video dgn yg terdistribusi🤣,😡 Negatif
226,@saaaa_nis,approveðŸ‘ðŸ‘,😊 Positif
180,@kanisa.desvara,kaka sekolah aku kapan,😐 Netral
575,@migoreng1_0,Mantep bgt min,😊 Positif
206,@amel_23713,tag sppg kalian 👇,😐 Netral
214,@puspadiyah123,"mbg makin lama makin di ungkret,,pertama dapat senang lama2 kok semakinðŸ˜Œanak q pertama semangat sekali seminggu selalu di habisin,tp skrg selalu di taruh tempat bekal e di bawa pulang gk di makan di sekolahanðŸ˜Œ",😡 Negatif
82,@irda.hasyim,ini baru bergizi d tempat cuma tempe tahu telur,😡 Negatif
151,@syafaruddinabubak1,"lambat tiba disekolah,jdi basi",😡 Negatif
150,@sheillsheill,katakan pret hehehhee,😐 Netral
475,@jeanydarwis,itu jangan di makan ada beracun nya,😡 Negatif
351,@raa00.4,plisss apaa dana buat mbg   ituu setiap daerah beda beda yak?ðŸ˜­ðŸ˜­ðŸ˜­,😐 Netral
198,@nabilac_07,Mantab,😊 Positif
300,@cellmaw,IH ENAK BANGET,😊 Positif
536,@fyyy1232,top bgt mbg nya ini gak membosankan ahli gizinya kreatif,😊 Positif
355,@wahyuarifin990,mbg ku 3   hariðŸ—¿,😐 Netral
432,@meychaayuarst,mbg yg bnr bnr mbg ini mah,😊 Positif
338,@niken.aini.nurr.a,jangan ngomong   makan bergizi,😡 Negatif
359,@atilahfaturahmanp,harus nya pak   Prabowo seluruh Indonesia d harus kan setiap hari menunya yg sama.. misal   hari Senin-sabtu menu nya apa..KLO misal kan ada skolah yg beda menu nya   harus kena sangsi pak..biar adil biar enak pak,😐 Netral
132,@doblek657,gak mungkin ayam Segede itu 🙃,😐 Netral
354,@ara_cwkeonho,SEKOLAH BERUNTUNG   MANAA GWE TANYAA!!!,😊 Positif
129,@sewajarnya21,enak banget menunya,😊 Positif
357,@canter.hdx45,menu besok itu   kak?,😐 Netral
290,@m.nunu_04,tadi mbg anak ku tahu kuning di campur telur di kukus sama martabak dalemnya tahu kuning jadinya namanya mbg menu tahu kuning,😐 Netral
107,@vin._.hss,tag di 👇,😐 Netral
529,@bundaelok72,"Menu²nya menarik semua. Good job. Amanah membelanjakan anggaran MBG, berkualitas semua menunya",😊 Positif
396,@riski.dwi.aryani,"enak2 banget si menu disna2 , sini ga enak2",😡 Negatif
133,@_faaa_191,tag sppg kalenn,😐 Netral
314,@sss29824,kenapa mbg sekolah lain enak2 . punya anak saya astagaaaaa,😡 Negatif
27,@sha2nhady,klo statmen nya begitu ngapain lu cape2 ngadain makanan nya lebih baik duit 15.000 kasih ke ortu nya buat bekal makan d sekolah pasti bakalan mewah,😡 Negatif
407,@briliantclass3,muantappp minnðŸ«°ðŸ»,😊 Positif
326,@sppglubuklinggaubarat1,fyi susu kental manis hanya sebagai toping jasuke yaa adikâ€ bukan untuk diminum sebagai pengganti susu full creamðŸ™ðŸ»ðŸ™ðŸ»,😐 Netral
449,@daaa_380,sedang kan MBG ku,😊 Positif
317,@rikamaulida35,"mbg d tmpatku , telor di balado ,kalo ngga , telor di rebus pake tepung panir ðŸ˜­",😡 Negatif
292,@anieztku,kak anggurnya kebanyakan itu..harusnya kan cuma 3,😡 Negatif
