Username,Komentar,Sentimen
@don_abayy,"Negara ini, kalau ada sebuah proyek pasti yang di utamain untung nya dulu bukan kualitasnya, makanya sampai hari ini apa aja yg dibuat pemerintah selalu gagal, gagal total",😡 Negatif
@sriwahyudi243,Alhamdulillah selama dapat MBG di sekolah anak saya dan ponakan saya belum pernah ada masalah ( keracunan dll ) kalau gak suka ya memang bilang terus terang aja .. saya tetap bawain bekal juga untuk anak ...,😊 Positif
@lalalalal3222,kak enak banget sumpah 😫😫😫😫,😊 Positif
@reskysulaiman326,bg boleh request nasi goreng aym susu coklat sayur kol nasi kuning sama mie gpp kan bg salam dari SDN 1 topa,😐 Netral
@iniidheaaa0,"enakkkk tadii menuuu mbg nyaa kakk, makasii yaa kakk mbg nyaa🥰💕",😊 Positif
@maneez_0,enaknya tadi eee,😊 Positif
@teti.riu,enak banget menunya tadi,😊 Positif
@ig_nnnabilaaaa,behh enak sekali ayam ee,😊 Positif
@askaiii2,"enakkk betulan eee, sa suka 😍",😊 Positif
@del_put1,enak banget 👍,😊 Positif
@fadilzz544,enak banget kak,😊 Positif
@tratau_000,"enak mbg ny tdi e, semangat trus kk mbg💪🏻💪🏻",😊 Positif
@kaisukamieayam74,makasihh mbg kakkk🙌🏻,😊 Positif
@yarez27,sa tidak hadire,😐 Netral
@aisya_1.1,enakk betull,😊 Positif
@nabilanovelsa2,enak bgt tadi menunyaa makasih ya mbg,😊 Positif
@yrk9253,terima kasih omm mbg nyaaa enak banget cokkkk🥰,😊 Positif
@umikeisyafadiel,mbg anaku sd tangerang ciputat,😐 Netral
@kunyukwisnu8.80,when ya mbg kek gini 🥲🥲🥲,😊 Positif
@akbaralmunawir,SEDANGKAN MBG GUA🍗🍳🍗🍳🍗🍳,😡 Negatif
@caca092402,sekolah mana yang beruntung itu😭,😊 Positif
@anas_al171,tag mbg kalian,😐 Netral
@senfaiy23hsu,nyatanya mbg nggak pernah seperti itu,😡 Negatif
@shevilla_here,WOY DI GW GA PERNAH MBG BUANYA STOBERI,😡 Negatif
@awbestieaw1715,sedangkan mbg gua teme katsu,😡 Negatif
@nanac_09,tag sppg kalian 🗿😭,😐 Netral
@rikamaulida35,"mbg d tmpatku , telor di balado ,kalo ngga , telor di rebus pake tepung panir 😭",😐 Netral
@tukang_cuci.laundry,yg divideoin yg bagus2. yg asliny kyk gini. MBG sekolah anak sya hr inj,😊 Positif
@ladysa.naufalyn,buatan yang ini dong min,😐 Netral
@ltsssakuraa1,tag sopg kalian,😐 Netral
@fatirassidiq7,kok kaya gini aku gak suka tapi ok yang penting temen ku suka,😡 Negatif
@fadhillahhera,mbg anak saya 😁,😐 Netral
@butterflynaura,sppg gua kenapa pelit banget ya.. 🥰,😡 Negatif
@resetbelah,tag sppg kalian,😐 Netral
@dinda.putri368,lah MBG gua makin hari makin gaenak jirr,😡 Negatif
@_feebri.r.w,izin tag sppg,😐 Netral
@olallila,"KAN, YG DPET KLAS 9 DOANGG",😐 Netral
@aulya2119,minn kok tadi aku bukan itu yaa menu nyaa,😐 Netral
@cgemoy50,contoh sppg yang amanah Kya giniiii,😊 Positif
@riaaavvhss5,mbg disini,😐 Netral
@imm_t4n1,"mbg aku sekarang ganti, trs mbg yg sekarang gak enk masa tiap hri telor",😡 Negatif
@kayysukanariii23,sedangkan aku:🥚🍗🥚🍗🥚🍗🥚🍗🥚🍗🥚🍗🥚,😡 Negatif
@its_khanza14,mbg orang lain: 🍖🍔🍜🍕🥓🥩 mbg gw: 🍗🥚🍗🥚🍗🥚🍗🥚,😡 Negatif
@piyz_sar,tag sppg kalian!!!,😐 Netral
@awhyptr,menu mbg harusnya sm semua ga si serentak biar ga ada iri²an dan gizinya semua sm rata dan adil.,😊 Positif
@siapaajadeh23,minm MTs libur kenapa dimsum sih minn😭😭😭,😡 Negatif
@sheilasyakiraa,MIN NANTI DIMSUM LAGI PAS KITA MASUK YA,😊 Positif
@mama.acha129,tag SPPG kaliann,😐 Netral
@ambar.alfarizi3,Tag ahh biar peka,😐 Netral
@matcha.cat.andlover,ngapusi cah. iki buktine,😡 Negatif
@hatsukixroblox,mbg saran saya sistem prasmanan aja buat dapur di sekolah.,😊 Positif
@newbiewgame99,"overtime kak brapa porsi masuk ompreng berapa biji pasti di kali porsi 🙏☺️, saya pulang molor kena menu ini",😡 Negatif
@chikovero,di aku bikin begini selesainya ydah dzuhur😅,😡 Negatif
@irda.hasyim,ini baru bergizi d tempat cuma tempe tahu telur,😡 Negatif
@wha10971,Tag sppg kalian,😐 Netral
@rrey_caaa,tag tag,😐 Netral
@chriswanbennoda,MBG kalo dana nya di gunain sepenuhnya.,😊 Positif
@avstxr.a,dimsum mentai tpi ada mentai e ka,😐 Netral
@ifasufi25,Sppg ter baikkk se margyoso ini ituuu.... 😍😍😍,😊 Positif
@riswanto6148,nih amanah 🥰🥰🥰,😊 Positif
@duri123469,boleh tau g itu nama kacang nya,😐 Netral
@coklatmaniss516,request sate ayam lontong min hari kamis,😐 Netral
@mar26954,knp itu maskernya sama sarung tangan kok gak pakai ya...itu mkn sudah matang lho.,😡 Negatif
@puspadiyah123,"mbg makin lama makin di ungkret,,pertama dapat senang lama2 kok semakin😌anak q pertama semangat sekali seminggu selalu di habisin,tp skrg selalu di taruh tempat bekal e di bawa pulang gk di makan di sekolahan😌",😡 Negatif
@senfaiy23hsu,telur 2000 telo 1000 kripik 1000 total 4000 sisanya pada kemana 🤣🤣,😡 Negatif
@arjuna449,sppg biasanya ada mess tempat tidur ga?,😐 Netral
@heruprasetiyo59,kukusan tahu,😐 Netral
@velocean44,"knp ga pake sistem ompreng berjalan, lbh efisien",😊 Positif
@_awal123346789,Memberi makan anak2 adalah tugas orang tua. Tugas negara adalah memastikan orangtuanya memiliki penghasilan yg layak..,😐 Netral
@mihsanalazzain,izin ambil vidio ya mind buat tugas,😐 Netral
@asel0le_26,"Sistem pemorsiannya belum estafet ya. Padahal lebih cepet kalo omprengnya yang berjalan, atau emang keterbatasan fasilitas?",😐 Netral
@pabriktahufbikudus2010,Barang kali bisa ikut supply untuk konsumsi,😐 Netral
@rl.clipper79,izin ambil video kak.buat klip,😐 Netral
@cantik48ooo,cari loker kerjanya dimana ya???,😐 Netral
@khadijah114,durung adil merata..💪,😡 Negatif
@khairaelang,Alhamdulillah MINUTT sudah merasakan sejak senin.makasih kerja kerasnya,😊 Positif
@ardidicky_,Jangan lupa masker yaa kak,😐 Netral
@viol3tchild,"sppg orng"" kok pada amanah yaa",😊 Positif
@vin._.hss,tag di 👇,😐 Netral
@mycapikkkkkkkk_que,jasa Tagg sppg,😐 Netral
@cwepenyukapersib_,SPPG di tempatku pelitt semuaa😭😭,😡 Negatif
@dnaanggunnrni,di seklh aku ngga dapet selama libur ini🥺,😡 Negatif
@r4hma_khaira15,itu berapa hari kak,😐 Netral
@halosobat30,ada lawan kah 😅,😐 Netral
@anginspoy64,aku mbg nya segini hari senin,😐 Netral
@onyxzslbw,punya ku buah naga nya mentah min,😡 Negatif
@kapten_uwil,ini apa wee jelasin😭😭😭,😐 Netral
@usfbvfxx,Baru di ambil tdi pagi kak,😐 Netral
@yaaaaa_0036,tag sppg kalian,😐 Netral
@ocan3901,mbg 7 hari ku •Kurma 3 biji •Apel 6 biji •Susu 8 biji •Roti 2 biji •telur 2 biji,😐 Netral
@cndy_1105,kurang ayam nya min,😡 Negatif
@horraygr_lax,"besok"" ayam ya☺",😊 Positif
@leo.15august,gak mungkin 10rb ini budgetnya 😅,😡 Negatif
@bunda20.4,nah kayak gini anak pasti suka,😊 Positif
@ipi1_aj4,tag sppg kalian😭👇,😐 Netral
@affiliatorsuksesnih,ini cuma karena di video sebagus ini aslinya gini kan.yang bener begini kan,😡 Negatif
@delzz_stcu,tag sppg kalian di bawah ⬇,😐 Netral
@botak_yellowie,Pengen bgt mbg begini😭,😊 Positif
@yenniekeysha09,nah yg begini baru amanah 😃,😊 Positif
@74szzcv7_,pov sppg ga korupsi,😊 Positif
@sewajarnya21,enak banget menunya,😊 Positif
@jchiaa0,ini gimana sih sounding ke org dapur. gue bikin menu ribet dikit tiap gerak org protes anjir capek bgttt😭😭 di sisi lain foodwaste makin mengggunung👊,😡 Negatif
@_menyalaquensz,tag mbg kalian,😐 Netral
@doblek657,gak mungkin ayam Segede itu 🙃,😐 Netral
@_faaa_191,tag sppg kalenn,😐 Netral
@.1234zaman,tag sppg kalian!!,😐 Netral
@heyyriyantii,daerahku😭,😡 Negatif
@barokah4325,jgn terlalu bgs lah min.. kasihan... di lapangan ga sama yg di konten 🙏🏻🙏🏻😃,😡 Negatif
@atyaafkari,"ntar besok gua fotoin yah mbg gua , pasti lu semua pada kaget 😭",😡 Negatif
@luvioziel,"itu sample doang yaa, yg buat dikasih muridmah dikurangin + gak dihiaskan ?? bertanya dengan nada lembut",😡 Negatif
@egafbryti,mbg hri ini😂,😐 Netral
@gajeboysclub,real or fake buat konten doang atau emang real masa porsi ribuan se rumit ini gak keteteran tuh,😐 Netral
@hamidinthea,mbg di sekolah anaku😂,😐 Netral
@raniputri15081,gk ribet ya itu motong buah ny perasaan banyak,😐 Netral
@luvi.faisal,sementara di dimensi lain😂,😡 Negatif
@adyassiddiqheryadin24_,beda saama buat nganterin mah itu mah cuma sample🤣,😡 Negatif
@taripratiwi09,padahal aslinya 😭,😡 Negatif
@sri.wahyuni9300,mbg hari ini🥲,😐 Netral
@deffaira16,apakah ini MBG 😮‍💨,😐 Netral
@_pela4a,itu pm berapa ya kak? kok bisa sempet sempet ngerapihin??,😐 Netral
@iski.nurul,mbg di tempat ku ka😍,😐 Netral
@sheillsheill,katakan pret hehehhee,😐 Netral
@syafaruddinabubak1,"lambat tiba disekolah,jdi basi",😡 Negatif
@rahayupuspit,anakku pernah dpt menu spt itu ... sayur berlendir... semangka dan orek tempe bau... ayam kecampur sama sambal (anakku nd suka pedas) ... apa yg mau dimakan... untung saja tiap hari aq bawain anakku bekal nasi walo bukn yg 4sehat 5sempurna tp nilai gizi dan kebersihan terjamin ... ☺️,😡 Negatif
@sinarjinar,buah semangkanya di potong jam berapa kak?,😐 Netral
@masdarsudaryono,"Semangat, berikan kinerja terbaik. Ini tidak mudah tp setidaknya kita telah memulai. Salam hormat",😊 Positif
@daniyorgen,inih baru MBG .bersih sehat🙏🙏👍,😊 Positif
@ndaapthrii,kalau tiba di sekolah beda lagi menunyadan tdk sesuai,😡 Negatif
@pecintalagumakassar,tdk sesuai video dgn yg terdistribusi🤣,😡 Negatif
@nurini1301,mbg kapan kami dapat sekolaku 008tambun,😐 Netral
@nenejum.nejum,In lokasiny d manah.tuh sehat tpi ngak tau jugah,😐 Netral
@rikantobuo446,ayam kecap lagi kk . anak aku yg 3thn suka . katanya enakkk🥰 terima kasih sppg biyonga,😊 Positif
@falahmiftah174,kalau masuk media pasti mkn nya bagus,😡 Negatif
@user7148770927298,pak kalo MBG ini ke SD 3 pringga baya Utara kalo bingkisan nya di banyakin masah ada sedikit 3 macam dalam 2 hari,😡 Negatif
@ailsaarindaputr98,pp,😐 Netral
@elin.linawati09,"bagus,sesuai n banyak",😊 Positif
@rio89898,di video bgs menunya... kenyataan nya diluar Nurul 😁😂,😡 Negatif
@sur.yanto851,siapa yang belum makan bergizi,😐 Netral
@fiyaaw8,mie ayam min,😐 Netral
@raniasukadancebrazil,akuuuuu tadii di antarr enkkk bgtt,😊 Positif
@tru_146,aku baru tadi dapet besok menu nya apa ya?? [thinking][thinking],😐 Netral
@raka_zera,asalamualaikum,😐 Netral
@rizz.409,bukan makanan bergizi adanya makanan beracun😂,😡 Negatif
@aimanarrayyanfakaubun,plis min 2 dapet stobery & susu,😐 Netral
@crumbly62,"kalian day 100,day 1 aku day 0😭",😡 Negatif
@loveelyy_afifa,di sekolah ku tidak pernah ada MBG 😭😭😭kami memiliki mu MBG 😭,😡 Negatif
@matchalatteeu1,mie ayamnya kapan min?,😐 Netral
@zz_fzx8,min di mi ku belum mi psm tempursari,😐 Netral
@santi.hubu,kapan so trg so gak sabar kalo ada mbg nya😭,😊 Positif
@jidannugan,enak banget mbg nya makasih mbg,😊 Positif
@kucing.hitl3,km belum dpt,😐 Netral
@kanisa.desvara,kaka sekolah aku kapan,😐 Netral
@selly.s8,semangat..lancar...ini pesan... jaga kualitas..sebelum nyampai ke tangan anak2 cek lgi.....biar gk kesalahan lgi.....,😊 Positif
@wijayanti4238,di kelolah org yg amanah MBG,😊 Positif
@zim_cung,jir lah banyak banget dpt nya gw aj cuman 3😹,😡 Negatif
@dhela.dhelisa,emg menunya beda2 apa gimana sih ini,😐 Netral
@ayutyas11,Ini mbg di tempatku guyss🤣,😐 Netral
@masjie.restu,"ini cuma contoh atau gimana ya koq beda""",😐 Netral
@mhd21yes,teori biasanya tak sesuai praktik 😂,😡 Negatif
@waketputrisulung.skb.wsa,pasti ini menu buat pejabat yaa. bukan buat anak sekolah,😡 Negatif
@latifganiya,ugtjothivhrufufjrjfj j❤️💝💐👫,😐 Netral
@mirdev78,ini baru amanah....gak akan ada yg nyuruh nutup MBG kalo bgni menu n porsinya...,😊 Positif
@sayangmuu015,"kok beda"" menunya",😐 Netral
@shakilaalmahyra203,wow... sejauh ini ini menu MBG paling 👍👍👍 mantab,😊 Positif
@yassssa21,gw skolah dulu gada program mbg nasib nasib😅,😡 Negatif
@uttymayy,Witara gadapet makanan ginii 😭🙏 kapan hari dapet ayam yg dah agak basi gatau tapi sppg nya ngikut manaaa🙏,😡 Negatif
@mbak.jum33,menu mbg yg patut dicontoh,😊 Positif
@tyzz231,Wow istimewaah 👏👏,😊 Positif
@ibuumutliah_,mantab menu e 🤤,😊 Positif
@nabilac_07,Mantab,😊 Positif
@nv_krln13,definisi mbg dikelola dengan baik 👍,😊 Positif
@ristiallan,mbg ku🍗🍳🍗🍳🍗🍳🍗🍗🍳🍳,😊 Positif
@lovely.siti_,kenapa sampe sekolah beda porsi nya??😳,😐 Netral
@aly_saa00,tag sppg kaliannn😭😭,😐 Netral
@mytry18,Beda banget minnn😂,😐 Netral
@emaknyarj3,"Look nya menggugah selera. padahal kalau dihitung itu gak nyampe 15k, apalagi dengan belanjaan yang langsung banyak. Anehnya, MBG lain kenapa gak bisa?😭😭😭",😡 Negatif
@floynnn_monokachi,#MINAT,😊 Positif
@amel_23713,tag sppg kalian 👇,😐 Netral
@user9474394820,jauh dari kata bergizi,😡 Negatif
@ariefiqbalbudikus6,MBG TK 🥰🙏🏼,😊 Positif
@rifkialana,yang di posting porsi nya Waw.yang dikirim porsinya semua pada se uprit.bener ga Bu ibu,😡 Negatif
@avrilnazla,tau ee ga min??? alaahh real di lapangan nih min,😡 Negatif
@penonton_tertib,Sekian dan Terimakasih....,😐 Netral
@gak_ta014,OMGGG MY SPPT PIRAL🗿,😐 Netral
@mrs.lucas_xx444,"tidak ada nasi, bukan berarti tidak ada karbohidrat... bisa kita lihat di kotak makan sudah ada 5 potong kentang wedges, dan kentang itu adalah salah satu karbohidrat pengganti dari nasi",😊 Positif
@puspadiyah123,"mbg makin lama makin di ungkret,,pertama dapat senang lama2 kok semakinðŸ˜Œanak q pertama semangat sekali seminggu selalu di habisin,tp skrg selalu di taruh tempat bekal e di bawa pulang gk di makan di sekolahanðŸ˜Œ",😡 Negatif
@senfaiy23hsu,telur 2000 telo 1000 kripik 1000 total 4000 sisanya pada kemana ðŸ¤£ðŸ¤£,😡 Negatif
@henyjafarkue123,nak ajeng derek kerjo caranipun,😐 Netral
@awal123346789,Memberi makan anak2 adalah tugas orang tua. Tugas negara adalah memastikan orangtuanya memiliki penghasilan yg layak..,😐 Netral
@haaaalooooooo123,ini yg dpt cuman yg sekolah negri ya,😐 Netral
@ardidicky,Jangan lupa masker yaa kak,😐 Netral
@lislabib,Disekolah anak ak SD suwasta g dapat gusti.masih bayar maemnya 5 hari 50 rbum.,😡 Negatif
@aimadhy,ini pas di videoin biar kelihatan bagus nya.. na ini aslinyaðŸ˜ðŸ˜ðŸ˜,😡 Negatif
@mss.ayaan690,tutup ajah mbg tamba naik barang dapur,😡 Negatif
@marvipaul2525,beracun tadi teman saya muntah,😡 Negatif
@adewsity,nah kalo gini yakin ga di protes ðŸ¥°,😊 Positif
@strawberry.keyy,ank ku td crita kynya gak d mkn mbg ny karna basi,😡 Negatif
@saaaa_nis,approveðŸ‘ðŸ‘,😊 Positif
@geminii2407,"mbg di kmpung aku,gak nyambung bngt",😡 Negatif
@dystore123,"BPJS saya di blokir, ketika mau ke RS harus di pikir pikir dulu @",😐 Netral
@rotioverthink28,request an kuðŸ«°ðŸ»ðŸ˜­ðŸ™ðŸ»,😐 Netral
@bang_tuing86,makan gratis dari mana itu biaya dari semua rakyat Indonesia,😡 Negatif
@rhmatnrhda,kapan di adakan mbg untuk ayam,😐 Netral
@mariani.hasibuan4,"itu ma palsu, klw d vidio sgala macam makn mewah d buat, aslinya hmmm ampun deh",😡 Negatif
@nasrull0110,ðŸ¤¤ðŸ¤¤,😊 Positif
@justpookie_rantes,untung aku pernah tiga kaliðŸ˜œ,😊 Positif
@meiunay4,klu mbg nya begini kita emak2 pasti perjuangin jgn smpe.ttp,😊 Positif
@ekoa339,"knp ini mantap ,tp di kenyataan nya ngga sesuai ðŸ˜­ðŸ˜­",😡 Negatif
@mamandya21_,dr pertama ad mbg g pernah langsung enk malah g jls masak ny,😡 Negatif
@keysa6381,giliran mau di tutup dibikin enak2 menunyaðŸ˜‚ðŸ˜‚,😡 Negatif
@user6865010066213,yg salah bukan presiden yg kelola yg kelola yg di ..jangan presiden yg di hujad,😊 Positif
@rainna3346188,blm tentu rasany enak .,😐 Netral
@aasastiyah13,kenyataan ny mbg ga kaya gitu,😡 Negatif
@dell69812,beda setelah disekolahqn porsix pasti dikurangin.,😡 Negatif
@nasipadangenakbanhet,KAAA ENAK BGTTTTT!!!!,😊 Positif
@user62402610634372,tutup.mbg,😡 Negatif
@sutiyaningsih768,sekarang enak besuk ngak enak,😡 Negatif
@wariyah399,[Sticker],😐 Netral
@zahwaajj485,d vidio bagus ah mbg aslina sapoe bagus k lanjutana biasa loba ank nu emgga suka,😡 Negatif
@iieyuank10,Min ko ga bisa downlod videonya?,😡 Negatif
@sardan.yahya,lanjutkan MBG ðŸ‘ðŸ‘,😊 Positif
@meychaayuarst,mbg yg bnr bnr mbg ini mahðŸ˜­,😊 Positif
@chelsichi.*,tag sppg klen we,😐 Netral
@febiola2607,disini telor ayam telor ayam bosan bgt,😡 Negatif
@devyy2911,sedangkan di aku ðŸ—ðŸ¥šðŸ—ðŸ¥šðŸ—ðŸ¥šðŸ—ðŸ¥šðŸ—ðŸ—ðŸ¥šðŸ—ðŸ¥šðŸ—ðŸ¥šðŸ—ðŸ¥šðŸ—ðŸ¥šðŸ—ðŸ¥šðŸ—ðŸ¥šðŸ—ðŸ¥šðŸ—ðŸ¥šðŸ—ðŸ¥šðŸ—ðŸ¥šðŸ—ðŸ¥šðŸ—ðŸ¥šðŸ—ðŸ¥šðŸ—ðŸ¥šðŸ—ðŸ¥šðŸ—ðŸ¥šðŸ—ðŸ¥šðŸ—ðŸ¥šðŸ—ðŸ¥šðŸ—ðŸ¥šðŸ—ðŸ¥šðŸ—ðŸ¥šðŸ—ðŸ¥šðŸ—ðŸ¥šðŸ—ðŸ¥šðŸ—ðŸ¥šðŸ—ðŸ¥šðŸ—ðŸ¥šðŸ—ðŸ¥šðŸ—ðŸ¥šðŸ—ðŸ¥šðŸ—ðŸ¥šðŸ—ðŸ¥šðŸ—ðŸ¥š,😐 Netral
@vartexx47,mbg kami gak pernah seenak itu,😡 Negatif
@khannn_mupp,SMP KU BLM DPT MBG.,😡 Negatif
@dekaurel20,"enak nya yang kami gak ada dimsum, salmon, kentang",😡 Negatif
@febiianaaa,"NAHH GINII LOOO, kmrnn aku di kasii dimsum tapi pke nasi",😊 Positif
@l0veer_f4ra,aku dapat dimsum kaya gtu hari jumat kmaren,😊 Positif
@friliplenger,izin ninggalin jejak dulu,😐 Netral
@4_is7,izin taggg,😐 Netral
@hisj17379ahshvdb0,miiinn dii pekanbaru kasih dongg,😐 Netral
@rifqy_aja_,emang itu bergizi,😡 Negatif
@_rr4inbow5215,sekolah mana yg beruntung ituðŸ—¿,😊 Positif
@zahrahtmasarii,disisi lain..,😐 Netral
@surazuli24,yg di pamerin pasti yg bagus nya aj ðŸ˜‚,😡 Negatif
@untungsimamora88,"semua orang juga tahu kok, kalau yang di video ini menu nya top,.. Tapi cuma hari itu aja,, selebihnya tau sama tau ajalah kan ðŸ¥±ðŸ¥±",😡 Negatif
@plsimprove.00,guna nya kacang kulit buat apaan? mending diganti yang bermanfaat dah,😡 Negatif
@fee_fenny,"Dari sekian banyak konten SPPG, baru kali ini liat ada yg pake tag ex.time dan waktu produksinya ni.. keren, semoga bisa jdi inspirasi untuk SPPG SPPG lainnya...",😊 Positif
@winaaaaa2908,"duh nyeriÂ² ya komenannya,, padahal di sekolah saya makananya juga gini, malahan buahnya lebih banyak, segitunya benci pak prabowo",😊 Positif
@amanahimmortalsolo,Knp kebanyakan pakai ayam mentok sayap sm paha bawah apa klu dada melebihi anggaran,😡 Negatif
@myb29.5,pkoknya MBG harus tutup. ganti kebutuhan pkok murah ðŸ˜Ž,😡 Negatif
@diki67475,andai stiap menu sppg waras kaya giniðŸ˜…,😊 Positif
@arshintand,"kak, itu kok boleh sambel. kemaren suamiku ditegur gegara menunya ayam geprek + sambel",😐 Netral
@mas.boy5270,btw.biaya produksi gak sampe 10rb tuh....,😡 Negatif
@waonesany99,buat mkn anggota DPR ya....???,😡 Negatif
@diki.diko50,"jangan sering pakai telur, saran",😐 Netral
@abaselektonikcucigudang,"uang negara habiss ,, gara2 ini",😡 Negatif
@unrecognized59,kok ya kepikiran pakai kacang tanah rebus ? mana ga di kupas lagi ðŸ˜‚,😡 Negatif
@rafy.andre8,bagus ya sppg nyaðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚ pencitraan ðŸ˜…ðŸ˜…ðŸ˜…ðŸ˜…,😡 Negatif
@hendraa3967,ganti tahunya. tahu/tempe mulu.gak d makan ank2. mndingan buah2an nya aga besar.,😡 Negatif
@fanluxyken_r_v,"ini serius isiny begini?, kek kumplit",😊 Positif
@user144383485rehan,"ðŸ˜…yg di video in Kya gini nyampe sekolah beda lgi,udh GK anhðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚.",😡 Negatif
@howidzer,itu saos aman gk.? saos bkn sendiri lbh sht,😡 Negatif
@ajibose46,saos SASET emngnya masih boleh ???,😐 Netral
@husnanm2711,"yang laen anggurnya 3 biji, yg divideoin 5 bijiðŸ˜Œ",😐 Netral
@darikontakanda478,ijin ya ini mbg bumil SM balita,😐 Netral
@kandangpinggirkalifarm23,"ijin biasanya anggur 2biji itu biasanya yang di tutupi sama tepung roti dalemnya tempe , sayur mayur biasanya asal ada aja ga nyampe bnyak gitu , nasi juga biasanya kaya nasi kucing dikit",😡 Negatif
@momydavy,mang ada ya anak 2 udah pandai makan selada ??,😐 Netral
@nadibima.707,enak banget kak aku sampai nambah punya temen,😊 Positif
@m.nunu_04,tadi mbg anak ku tahu kuning di campur telur di kukus sama martabak dalemnya tahu kuning jadinya namanya mbg menu tahu kuning,😐 Netral
@indah.gemoy293,MIN BIKIN DANCE DI SDN 1 KEDUNG DALEM DONKKKKKK,😐 Netral
@anieztku,kak anggurnya kebanyakan itu..harusnya kan cuma 3,😡 Negatif
@glancy.gwen,Biasanya anggur 3 biji ini kok 5ðŸ˜‚ kelebihan 2 itu,😡 Negatif
@tidaktauu178,Kasian kantin2 di skolah gr2 ad mbg pst gk payu jualannya,😡 Negatif
@saspnty,tagg sppg kalianðŸ¤­,😐 Netral
@ilmsand0808,"orang2 pada nanya mana sayurannya, sedangkan anak2 banyak bgt yg gamau makan sayurnyaðŸ˜­",😐 Netral
@frdaaa_42,@sppglumbir,😐 Netral
@akubilawimutt00__,"MBG orang"" pada enak"" jirrðŸ˜­",😊 Positif
@dwinov2011,"kalo bs telur nya di kupas, kita g tau di balik kulit telur itu ada yg busuk atau tidak. kasian yg dapet zonk",😡 Negatif
@cellmaw,IH ENAK BANGET,😊 Positif
@deliiaaasfr,BUSEET INIII DIMANAA MAUU PINDAHH KESITUUU PLSSS,😊 Positif
@cicim0d,enak e,😊 Positif
@daaa_380,sedang kan MBG kuðŸ«›ðŸ¥•ðŸ¥¬ðŸ«›ðŸ¥•ðŸ¥¬ðŸ«›ðŸ¥•ðŸ¥¬ðŸ«›ðŸ¥•ðŸ¥¬ðŸ«›ðŸ¥•ðŸ¥¬ðŸˆðŸˆðŸˆðŸ—ðŸ¥š,😊 Positif
@_mulya72,mangganya menggiurkan. jadi pingin ðŸ¤­ðŸ¤­,😊 Positif
@sppgmagersari2,mantap sekale min,😊 Positif
@applepienyam,sayure mana kak,😐 Netral
@jangangitulagiya,"Kakk, hati2 yaa. BGN sudah melarang penggunaan sari kacang ijo kemasan spt itu krn kandungan gulanya",😡 Negatif
@sucaysh,jauh banget sama mbg yng aku dpetðŸ˜”,😡 Negatif
@bilqisalfairatam23,sekolah ku juga,😐 Netral
@dea__422,Mgb ku hari ini,😐 Netral
