No,Username,Komentar,Sentimen
528,@ummu.arsya1,"Menu di batulicin gk kreatif, sayur wortel trs",😡 Negatif
190,@mirdev78,ini baru amanah....gak akan ada yg nyuruh nutup MBG kalo bgni menu n porsinya...,😊 Positif
148,@_pela4a,itu pm berapa ya kak? kok bisa sempet sempet ngerapihin??,😐 Netral
512,@pputtme,yg belum dapet nangis di pojokan,😡 Negatif
18,@146haekal,ini makan siang gratis dari Jawa Barat kalau Jawa Timur kalau Jawa Tengah?,😐 Netral
42,@yarez27,sa tidak hadire,😐 Netral
390,@bubblebiep,ak msukin sw yh,😐 Netral
324,@leviaaliaa,meanwhile jasuke di skola ku ðŸ˜Œ,😐 Netral
494,@alda_nia03,BERUNTUNG BANGETT YANG DAPET MBG GITU,😊 Positif
84,@rrey_caaa,tag tag,😐 Netral
261,@hisj17379ahshvdb0,miiinn dii pekanbaru kasih dongg,😐 Netral
502,@astungkara69,ENAK BANGET SUSU DAN ROTI DAN TELUR' NY DAN BUAH NAGA,😊 Positif
211,@penonton_tertib,Sekian dan Terimakasih....,😐 Netral
143,@luvi.faisal,sementara di dimensi lain😂,😡 Negatif
31,@lalalalal3222,kak enak banget sumpah 😫😫😫😫,😊 Positif
35,@teti.riu,enak banget menunya tadi,😊 Positif
285,@husnanm2711,"yang laen anggurnya 3 biji, yg divideoin 5 bijiðŸ˜Œ",😐 Netral
501,@hal_waimup,tag MBG kalian biar di bikinin kayak gini,😊 Positif
566,@tokosiibu,menu mbg anak ku tk,😐 Netral
208,@ariefiqbalbudikus6,MBG TK 🥰🙏🏼,😊 Positif
187,@mhd21yes,teori biasanya tak sesuai praktik 😂,😡 Negatif
113,@anginspoy64,aku mbg nya segini hari senin,😐 Netral
283,@howidzer,itu saos aman gk.? saos bkn sendiri lbh sht,😡 Negatif
185,@ayutyas11,Ini mbg di tempatku guyss🤣,😐 Netral
447,@ilmsand0808,"orang2 pada nanya mana sayurannya, sedangkan anak2 banyak bgt yg gamau makan sayurnya",😐 Netral
235,@meiunay4,klu mbg nya begini kita emak2 pasti perjuangin jgn smpe.ttp,😊 Positif
419,@wesi242,Aku gak kebagian jeruk e?ðŸ˜­,😡 Negatif
30,@sriwahyudi243,Alhamdulillah selama dapat MBG di sekolah anak saya dan ponakan saya belum pernah ada masalah ( keracunan dll ) kalau gak suka ya memang bilang terus terang aja .. saya tetap bawain bekal juga untuk anak ...,😊 Positif
490,@atilahfaturahmanp,harus nya pak Prabowo seluruh Indonesia di haruskan setiap hari menunya yg sama.. misal hari Senin-sabtu menu nya apa..KLO misal kan ada skolah yg beda menu nya harus kena sangsi pak..biar adil biar enak pak,😐 Netral
154,@masdarsudaryono,"Semangat, berikan kinerja terbaik. Ini tidak mudah tp setidaknya kita telah memulai. Salam hormat",😊 Positif
5,@sebutsajamar,teman saya masuk rumah sakit gara² dia alergi udang🙏,😡 Negatif
518,@briliantclass3,muantappp minn,😊 Positif
294,@tidaktauu178,Kasian kantin2 di skolah gr2 ad mbg pst gk payu jualannya,😡 Negatif
350,@4dalahpokokny42,[Sticker],😐 Netral
342,@jeanydarwis,itu jangan di makan   ada beracun nya,😡 Negatif
199,@nv_krln13,definisi mbg dikelola dengan baik 👍,😊 Positif
232,@mariani.hasibuan4,"itu ma palsu, klw d vidio sgala macam makn mewah d buat, aslinya hmmm ampun deh",😡 Negatif
254,@vartexx47,mbg kami gak pernah seenak itu,😡 Negatif
334,@sur.yanto851,siapa yang belum   makan bergizi,😐 Netral
312,@kunyukwisnu8.80,when ya mbg kek gini ðŸ¥²ðŸ¥²ðŸ¥²,😊 Positif
535,@saturn.sagp,burgernya enakk minn,😊 Positif
212,@gak_ta014,OMGGG MY SPPT PIRAL🗿,😐 Netral
62,@resetbelah,tag sppg kalian,😐 Netral
74,@siapaajadeh23,minm MTs libur kenapa dimsum sih minn😭😭😭,😡 Negatif
508,@ddeyaa05,KOKK SEKOLAH GUE BELUM DAPET ANJR,😡 Negatif
523,@widiaazzaa,mantaps,😊 Positif
400,@apriliantaguruhputra,inakkkk,😊 Positif
266,@untungsimamora88,"semua orang juga tahu kok, kalau yang di video ini menu nya top,.. Tapi cuma hari itu aja,, selebihnya tau sama tau ajalah kan ðŸ¥±ðŸ¥±",😡 Negatif
562,@aryamey3,kok fyp muncul na mbg pada bagus² tapi daerah Aq kok ga ya..,😡 Negatif
166,@sur.yanto851,siapa yang belum makan bergizi,😐 Netral
14,@ema06714,"pencarianku "" mbg hiu goreng"" 😭",😐 Netral
36,@ig_nnnabilaaaa,behh enak sekali ayam ee,😊 Positif
299,@dwinov2011,"kalo bs telur nya di kupas, kita g tau di balik kulit telur itu ada yg busuk atau tidak. kasian yg dapet zonk",😡 Negatif
364,@alda_nia03,BERUNTUNG BANGETT YANG   DAPET MBG GITUðŸ˜”,😊 Positif
433,@chelsichi.,tag sppg klen we,😐 Netral
496,@lia_aa049,enk bener disekolah gw cuman susu full cream yg kecil+pisang kecil+telur rebus 1+roti 2k an+ jjnan kacang,😡 Negatif
41,@kaisukamieayam74,makasihh mbg kakkk🙌🏻,😊 Positif
167,@fiyaaw8,mie ayam min,😐 Netral
223,@marvipaul2525,beracun tadi teman saya muntah,😡 Negatif
286,@darikontakanda478,ijin ya ini mbg bumil SM balita,😐 Netral
408,@hermawatithamrinhamiizan,"Bismillahirrohmanirrohiim Semoga SPPG Tegalgede 03 Selalu Lancar, Aman & Barokah. *Aamiin aamiin aamiin ya robbal'alamiin* ðŸ¤²",😊 Positif
92,@puspadiyah123,"mbg makin lama makin di ungkret,,pertama dapat senang lama2 kok semakin😌anak q pertama semangat sekali seminggu selalu di habisin,tp skrg selalu di taruh tempat bekal e di bawa pulang gk di makan di sekolahan😌",😡 Negatif
437,@untungsimamora88,"semua orang juga tahu kok, kalau yang di video ini menu nya top,.. Tapi cuma hari itu aja,, selebihnya tau sama tau ajalah kan",😡 Negatif
116,@usfbvfxx,Baru di ambil tdi pagi kak,😐 Netral
209,@rifkialana,yang di posting porsi nya Waw.yang dikirim porsinya semua pada se uprit.bener ga Bu ibu,😡 Negatif
75,@sheilasyakiraa,MIN NANTI DIMSUM LAGI PAS KITA MASUK YA,😊 Positif
492,@etyy403,dii daerah aku gaa gituu plss,😡 Negatif
12,@xrryaa8,mbg di tempat ku,😐 Netral
405,@5u51lowati,mbok ngno seng enk op kq pindang ae,😊 Positif
61,@butterflynaura,sppg gua kenapa pelit banget ya.. 🥰,😡 Negatif
421,@puspadiyah123,"mbg makin lama makin di ungkret,,pertama dapat senang lama2 kok semakin anak q pertama semangat sekali seminggu selalu di habisin,tp skrg selalu di taruh tempat bekal e di bawa pulang gk di makan di sekolahan",😡 Negatif
480,@kayla.aprilia67,ini baru makanan bergizi bukan makanan hemat pangkal korupsi,😊 Positif
183,@zim_cung,jir lah banyak banget dpt nya gw aj cuman 3😹,😡 Negatif
65,@olallila,"KAN, YG DPET KLAS 9 DOANGG",😐 Netral
546,@rai_missher,[Sticker],😐 Netral
538,@orangutan830,sekolah bhineka Nusantara blom kak,😐 Netral
560,@vitaa1994,Dan gerindra ga akan berani repost menu MBG yg di keluhkan masyarakat,😡 Negatif
289,@nadibima.707,enak banget kak aku sampai nambah punya temen,😊 Positif
514,@sandev20_,masa,😐 Netral
275,@waonesany99,buat mkn anggota DPR ya....???,😡 Negatif
280,@hendraa3967,ganti tahunya. tahu/tempe mulu.gak d makan ank2. mndingan buah2an nya aga besar.,😡 Negatif
319,@rubyal60,itu yg ijo ijo apa? kayak cabe..,😐 Netral
505,@furiyyy3,ini jg enak kok kak,😊 Positif
341,@user95300533849223,aku tadi pagi   dapat mbg,😐 Netral
522,@fitria.jambi,kak aku boleh rekws menh MBG gak,😐 Netral
177,@santi.hubu,kapan so trg so gak sabar kalo ada mbg nya😭,😊 Positif
24,@cherry_v31,Lah,😐 Netral
278,@unrecognized59,kok ya kepikiran pakai kacang tanah rebus ? mana ga di kupas lagi ðŸ˜‚,😡 Negatif
358,@araasww,ini mah mbgnya g korupsi   ðŸ˜‚ðŸ˜‚ðŸ˜‚ keren,😊 Positif
146,@sri.wahyuni9300,mbg hari ini🥲,😐 Netral
468,@ayambebek_8,plis gk prnh dpet sebanyak ini,😡 Negatif
69,@imm_t4n1,"mbg aku sekarang ganti, trs mbg yg sekarang gak enk masa tiap hri telor",😡 Negatif
67,@cgemoy50,contoh sppg yang amanah Kya giniiii,😊 Positif
109,@cwepenyukapersib_,SPPG di tempatku pelitt semuaa😭😭,😡 Negatif
127,@yenniekeysha09,nah yg begini baru amanah 😃,😊 Positif
424,@adewsity,nah kalo gini yakin ga di protes,😊 Positif
87,@ifasufi25,Sppg ter baikkk se margyoso ini ituuu.... 😍😍😍,😊 Positif
348,@kayla.aprilia67,ini baru makanan   bergizi bukan makanan hemat pangkal korupsiðŸ¤­,😊 Positif
237,@mamandya21_,dr pertama ad mbg g pernah langsung enk malah g jls masak ny,😡 Negatif
548,@alula0914,"iya sumpah enak banget ka. apalagi rotinya enak, pokoknya sppg 001 paling madep",😊 Positif
250,@meychaayuarst,mbg yg bnr bnr mbg ini mahðŸ˜­,😊 Positif
186,@masjie.restu,"ini cuma contoh atau gimana ya koq beda""",😐 Netral
484,@albert7_5,Pov: menu ketika kepala dapurnya anti korupsi,😊 Positif
77,@ambar.alfarizi3,Tag ahh biar peka,😐 Netral
442,@rafy.andre8,bagus ya sppg nya pencitraan,😡 Negatif
238,@keysa6381,giliran mau di tutup dibikin enak2 menunyaðŸ˜‚ðŸ˜‚,😡 Negatif
541,@nayynayy574,mbg kita mah telur muluu,😡 Negatif
255,@khannn_mupp,SMP KU BLM DPT MBG.,😡 Negatif
336,@loveelyy_afifa,di sekolah ku tidak   pernah ada MBG ðŸ˜­ðŸ˜­ðŸ˜­kami memiliki mu MBG ðŸ˜­,😡 Negatif
26,@kamunanya1234bhd,T-tapi itu kayak di restoran sedangkan kami yang penting makan😭😭😢,😡 Negatif
466,@affanfaisal162,mbg org enak² mbg disekolah kami biasa aja,😡 Negatif
571,@dimas.anggara9118,kenapa sih slalu langganan tempe kering padahal rasa nya kurang enak ..mending tempe bacem orek jelas kelihatan gizi nya,😡 Negatif
45,@yrk9253,terima kasih omm mbg nyaaa enak banget cokkkk🥰,😊 Positif
332,@ayambebek_8,plis gk prnh dpet sebanyak iniðŸ—¿,😡 Negatif
210,@avrilnazla,tau ee ga min??? alaahh real di lapangan nih min,😡 Negatif
298,@akubilawimutt00__,"MBG orang"" pada enak"" jirrðŸ˜­",😊 Positif
53,@awbestieaw1715,sedangkan mbg gua teme katsu,😡 Negatif
301,@deliiaaasfr,BUSEET INIII DIMANAA MAUU PINDAHH KESITUUU PLSSS,😊 Positif
81,@chikovero,di aku bikin begini selesainya ydah dzuhur😅,😡 Negatif
577,@sppg.ratuajeng.krw,izin copas min,😐 Netral
457,@rikamaulida35,"mbg d tmpatku , telor di balado ,kalo ngga , telor di rebus pake tepung panir",😡 Negatif
13,@moondaayy0,"Suruh gen z yang jadi tim mbg, gen z malas korupsi soalnya",😊 Positif
557,@emmaayudia,MBG anak aku yang TK dimsum goreng sama tahu gimana ini pak prabowo,😡 Negatif
463,@rannumj,JASUKE NYA BANYAK BGT IH,😡 Negatif
122,@bunda20.4,nah kayak gini anak pasti suka,😊 Positif
58,@ltsssakuraa1,tag sopg kalian,😐 Netral
173,@crumbly62,"kalian day 100,day 1 aku day 0😭",😡 Negatif
472,@zahida_3450,yg belum kebagian mbg sabar y.pasti dapat kok,😊 Positif
184,@dhela.dhelisa,emg menunya beda2 apa gimana sih ini,😐 Netral
311,@mama.isel5,"mbg anak gue di Bekasi,udah kaya ngasih makan bebek ðŸ¤£ðŸ¤£",😡 Negatif
310,@dea__422,Mgb ku hari ini,😐 Netral
515,@kembali.esokpagi,Ooo iki,😐 Netral
467,@user3961632015481,"min ngapo disaat kami libur, makanan nyo enak, yang kemarin jugo enak sih tapi yang ini beda",😊 Positif
220,@lislabib,Disekolah anak ak SD suwasta g dapat gusti.masih bayar maemnya 5 hari 50 rbum.,😡 Negatif
78,@matcha.cat.andlover,ngapusi cah. iki buktine,😡 Negatif
236,@ekoa339,"knp ini mantap ,tp di kenyataan nya ngga sesuai ðŸ˜­ðŸ˜­",😡 Negatif
497,@garojou_pnya23,tag mbg kalian,😐 Netral
458,@nezolshop05,sedangkan mbg ku,😡 Negatif
335,@tru_146,aku baru tadi dapet besok   menu nya apa ya?? [thinking][thinking],😐 Netral
504,@kde_rani,"KOK ORG' ENAK YA MKN NYA, PNYA SEKOLAH KU SEHAT BGT JD GA TRLALU ENAK",😡 Negatif
499,@qo_sweptyy,"bangg kalo libur sekolah akhir tahun, mbg tetep dapet apa gak bang??",😐 Netral
399,@muhammadalwiarsenal25,susu doang? kenapa gak tambahin aqua takut keselek makannya kurang itu buat minumnya mnurut aku,😡 Negatif
182,@wijayanti4238,di kelolah org yg amanah MBG,😊 Positif
460,@99sup_,qha qha mbg jum’at berkah,😊 Positif
215,@senfaiy23hsu,telur 2000 telo 1000 kripik 1000 total 4000 sisanya pada kemana ðŸ¤£ðŸ¤£,😡 Negatif
435,@_rr4inbow5215,sekolah mana yg beruntung itu,😊 Positif
423,@aimadhy,ini pas di videoin biar kelihatan bagus nya.. na ini aslinya,😡 Negatif
378,@liza_kh2,itu di kasih cuma sekali aja ya?,😐 Netral
207,@user9474394820,jauh dari kata bergizi,😡 Negatif
459,@naura.hasna.annid225,hati hati ya bawa mobil nya,😐 Netral
139,@egafbryti,mbg hri ini😂,😐 Netral
253,@devyy2911,sedangkan di aku ðŸ—ðŸ¥šðŸ—ðŸ¥šðŸ—ðŸ¥šðŸ—ðŸ¥šðŸ—ðŸ—ðŸ¥šðŸ—ðŸ¥šðŸ—ðŸ¥šðŸ—ðŸ¥šðŸ—ðŸ¥šðŸ—ðŸ¥šðŸ—ðŸ¥šðŸ—ðŸ¥šðŸ—ðŸ¥šðŸ—ðŸ¥šðŸ—ðŸ¥šðŸ—ðŸ¥šðŸ—ðŸ¥šðŸ—ðŸ¥šðŸ—ðŸ¥šðŸ—ðŸ¥šðŸ—ðŸ¥šðŸ—ðŸ¥šðŸ—ðŸ¥šðŸ—ðŸ¥šðŸ—ðŸ¥šðŸ—ðŸ¥šðŸ—ðŸ¥šðŸ—ðŸ¥šðŸ—ðŸ¥šðŸ—ðŸ¥šðŸ—ðŸ¥šðŸ—ðŸ¥šðŸ—ðŸ¥šðŸ—ðŸ¥šðŸ—ðŸ¥šðŸ—ðŸ¥šðŸ—ðŸ¥šðŸ—ðŸ¥šðŸ—ðŸ¥š,😐 Netral
152,@rahayupuspit,anakku pernah dpt menu spt itu ... sayur berlendir... semangka dan orek tempe bau... ayam kecampur sama sambal (anakku nd suka pedas) ... apa yg mau dimakan... untung saja tiap hari aq bawain anakku bekal nasi walo bukn yg 4sehat 5sempurna tp nilai gizi dan kebersihan terjamin ... ☺️,😡 Negatif
66,@aulya2119,minn kok tadi aku bukan itu yaa menu nyaa,😐 Netral
155,@daniyorgen,inih baru MBG .bersih sehat🙏🙏👍,😊 Positif
483,@asepnandi30,masyaallah,😊 Positif
252,@febiola2607,disini telor ayam telor ayam bosan bgt,😡 Negatif
80,@newbiewgame99,"overtime kak brapa porsi masuk ompreng berapa biji pasti di kali porsi 🙏☺️, saya pulang molor kena menu ini",😡 Negatif
576,@pt.mbg_,"halo semuanya.., yang mau nyanri omprengan untuk mbg atau bisnis lainnya boleh mampir ke bio ya. Kita ready stock",😐 Netral
179,@kucing.hitl3,km belum dpt,😐 Netral
461,@twelast,ga sebanyak itu aslinya,😡 Negatif
70,@kayysukanariii23,sedangkan aku:🥚🍗🥚🍗🥚🍗🥚🍗🥚🍗🥚🍗🥚,😡 Negatif
553,@myaalaliff,tag aplg kalian skrg jugaa,😐 Netral
440,@diki67475,andai stiap menu sppg waras kaya gini,😊 Positif
471,@niken.aini.nurr.a,jangan ngomong makan bergizi,😡 Negatif
195,@mbak.jum33,menu mbg yg patut dicontoh,😊 Positif
219,@ardidicky,Jangan lupa masker yaa kak,😐 Netral
97,@_awal123346789,Memberi makan anak2 adalah tugas orang tua. Tugas negara adalah memastikan orangtuanya memiliki penghasilan yg layak..,😐 Netral
57,@ladysa.naufalyn,buatan yang ini dong min,😐 Netral
163,@ailsaarindaputr98,pp,😐 Netral
295,@saspnty,tagg sppg kalianðŸ¤­,😐 Netral
37,@askaiii2,"enakkk betulan eee, sa suka 😍",😊 Positif
260,@4_is7,izin taggg,😐 Netral
555,@user542501778,klo budget nya sama kenapa penampakannya beda ya.. pdhl bisa di contoh sppg lainya yg baik,😡 Negatif
23,@eriver___,:v,😐 Netral
244,@user62402610634372,tutup.mbg,😡 Negatif
79,@hatsukixroblox,mbg saran saya sistem prasmanan aja buat dapur di sekolah.,😊 Positif
563,@5alwaaa,"mau, bumil ngidam mbg ini mah:(",😊 Positif
165,@rio89898,di video bgs menunya... kenyataan nya diluar Nurul 😁😂,😡 Negatif
482,@raa00.4,plisss apaa dana buat mbg ituu setiap daerah beda beda yak?,😐 Netral
263,@_rr4inbow5215,sekolah mana yg beruntung ituðŸ—¿,😊 Positif
168,@raniasukadancebrazil,akuuuuu tadii di antarr enkkk bgtt,😊 Positif
368,@garojou_pnya23,tag mbg   kalian,😐 Netral
135,@heyyriyantii,daerahku😭,😡 Negatif
91,@mar26954,knp itu maskernya sama sarung tangan kok gak pakai ya...itu mkn sudah matang lho.,😡 Negatif
438,@winaaaaa2908,"duh nyeri² ya komenannya,, padahal di sekolah saya makananya juga gini, malahan buahnya lebih banyak, segitunya benci pak prabowo",😊 Positif
520,@endah.sawitri4,"terima kasih,anak2 tk Aisyiyah parakan suka",😊 Positif
268,@fee_fenny,"Dari sekian banyak konten SPPG, baru kali ini liat ada yg pake tag ex.time dan waktu produksinya ni.. keren, semoga bisa jdi inspirasi untuk SPPG SPPG lainnya...",😊 Positif
445,@glancy.gwen,Biasanya anggur 3 biji ini kok 5 kelebihan 2 itu,😡 Negatif
240,@rainna3346188,blm tentu rasany enak .,😐 Netral
527,@xxxzxxxz16,saran kak kalo lauk jangan dicampur sama sayur karena mudah cepet basi,😐 Netral
33,@iniidheaaa0,"enakkkk tadii menuuu mbg nyaa kakk, makasii yaa kakk mbg nyaa🥰💕",😊 Positif
333,@rizz.409,bukan makanan bergizi   adanya makanan beracunðŸ˜‚,😡 Negatif
296,@ilmsand0808,"orang2 pada nanya mana sayurannya, sedangkan anak2 banyak bgt yg gamau makan sayurnyaðŸ˜­",😐 Netral
567,@dapoermamahaidar,untuk hari ini dan besok,😐 Netral
371,@eka4juniarty1,diii sekolahannn   kuuu kokk gaaa dapett yg ginii??,😡 Negatif
202,@aly_saa00,tag sppg kaliannn😭😭,😐 Netral
403,@dittap5,ada hewannya kak lapor smp8 kota bogor,😡 Negatif
327,@akiyars_3,mbg impiang gwðŸ˜­,😊 Positif
176,@zz_fzx8,min di mi ku belum mi psm tempursari,😐 Netral
102,@cantik48ooo,cari loker kerjanya dimana ya???,😐 Netral
131,@_menyalaquensz,tag mbg kalian,😐 Netral
59,@fatirassidiq7,kok kaya gini aku gak suka tapi ok yang penting temen ku suka,😡 Negatif
453,@kunyukwisnu8.80,when ya mbg kek gini,😊 Positif
448,@akubilawimutt00__,MBG orang pada enak jirr,😊 Positif
331,@user3961632015481,"min ngapo disaat kami libur, makanan nyo enak, yang kemarin"" jugo enak sih tapi yang ini beda",😊 Positif
306,@applepienyam,sayure mana kak,😐 Netral
72,@piyz_sar,tag sppg kalian!!!,😐 Netral
241,@aasastiyah13,kenyataan ny mbg ga kaya gitu,😡 Negatif
372,@hal_waimup,tag MBG kalian biar di   bikinin kayak gini,😊 Positif
29,@don_abayy,"Negara ini, kalau ada sebuah proyek pasti yang di utamain untung nya dulu bukan kualitasnya, makanya sampai hari ini apa aja yg dibuat pemerintah selalu gagal, gagal total",😡 Negatif
428,@justpookie_rantes,untung aku pernah tiga kali,😊 Positif
352,@asepnandi30,masyaallah   â¤ï¸,😊 Positif
375,@t1wikk_,mustahil sih,😡 Negatif
305,@sppgmagersari2,mantap sekale min,😊 Positif
25,@tiaamri_,“Klo kurang kenyang bisa makan lagi di rumah” 😅,😡 Negatif
349,@66uuuu66,meanwhile mbg   gua..,😡 Negatif
404,@marsahata.siantur,"di Sumut mbgnya nggk seperti ini, makanya anak selalu mengeluh",😡 Negatif
38,@del_put1,enak banget 👍,😊 Positif
476,@wazira994,eh ujung ujungnya malah keracunan,😡 Negatif
388,@pputtme,yg belum dapet nangis di pojokanðŸ˜­,😡 Negatif
452,@mama.isel5,"mbg anak gue di Bekasi,udah kaya ngasih makan bebek",😡 Negatif
96,@velocean44,"knp ga pake sistem ompreng berjalan, lbh efisien",😊 Positif
568,@kthsckhu0,ko disekolah aink teu gini,😡 Negatif
533,@lizjunpribadi,"enak2 iiiih pasti anak2 suka..hebat tim ahli giji SM tim masaknya,ga asal2an kurang bumbu KY makanan rumahsakit",😊 Positif
582,@user5285111010961,mntappp,😊 Positif
227,@geminii2407,"mbg di kmpung aku,gak nyambung bngt",😡 Negatif
262,@rifqy_aja_,emang itu bergizi,😡 Negatif
441,@unrecognized59,kok ya kepikiran pakai kacang tanah rebus ? mana ga di kupas lagi,😡 Negatif
120,@horraygr_lax,"besok"" ayam ya☺",😊 Positif
544,@sukaaaarenjerrrssss,bang besok kasih enak dong karena besok aku ulang tahun,😐 Netral
284,@ajibose46,saos SASET emngnya masih boleh ???,😐 Netral
217,@awal123346789,Memberi makan anak2 adalah tugas orang tua. Tugas negara adalah memastikan orangtuanya memiliki penghasilan yg layak..,😐 Netral
